University_name,University SHC URL,Count of keywords matching webpages on SHC,Keywords matched webpages on SHC,Total word count on all pages,Reading ease,Grade level,Prevalence_metric,Condom,Condoms,Similarity,Sentiment objectivity,Sentiment polarity,Timeliness,Navigation,Trace,Data found
Northern Kentucky University,https://inside.nku.edu,10,"['https://inside.nku.edu/hcsw/health/respect-and-protect.html', 'https://inside.nku.edu/hcsw/health.html', 'https://inside.nku.edu/content/dam/humanresources/docs/Benefits/LandingPage/BenefitsColumn/Preventive%20Medication%20Coverage.pdf', 'https://inside.nku.edu/content/dam/student-government-association/PastAdministrations/SGA18-19/Resolutions/2018.2019.01%20Hygiene%20Products%20.pdf', 'https://inside.nku.edu/content/dam/titleix/docs/Title%20IX%20Introductory%20Training_BrickerEckler.pdf', 'https://inside.nku.edu/content/dam/coehs/old/docs/EPSBProgramSubmissions/SamplingofContentAreaSyllabi/HealthEducation/HEA230_elkinsr3_Spring2017.pdf']",1390,69.18,6.7,8,4,4,0.047,0.503,0.238,"['Sun, 16 Aug 2020 16:49:40 GMT', 'Sun, 16 Aug 2020 17:31:21 GMT', 'Wed, 13 Dec 2017 20:07:28 GMT', 'Thu, 22 Feb 2018 18:33:38 GMT', 'Thu, 06 Aug 2020 20:48:47 GMT', 'Mon, 15 Apr 2019 22:03:22 GMT', 'Tue, 01 May 2018 13:06:16 GMT', 'Thu, 06 Aug 2020 20:45:19 GMT', 'Thu, 06 Aug 2020 21:19:40 GMT', 'Mon, 27 Feb 2017 16:35:19 GMT']",3,"['https://inside.nku.edu', 'https://inside.nku.edu/giving.html', 'https://inside.nku.edu/giving/thanks/Thanks.html', 'https://inside.nku.edu/content/dam/giving/docs/TEMPLATE_Student.docx']",1
Western Kentucky University,https://www.wku.edu/healthservices,10,"['https://www.wku.edu/healthservices/news/index.php?view=article&articleid=2629', 'https://www.wku.edu/healthservices/health-ed/calendar/index.php?eventid=3099&view=event', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=643', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=2139', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=632&return=archive', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=839', 'https://www.wku.edu/healthservices/news/index.php?view=archive&archivepage=1', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=718', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=502', 'https://www.wku.edu/healthservices/news/index.php?view=article&articleid=717']",15571,68.31,8.9,66,41,25,0.097,0.566,0.131,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",-1,[],1
Grambling State University,https://www.gram.edu/student-life/services/health-center,2,['https://www.gram.edu/student-life/services/health-center/services.php'],1213,73.67,5.88,2,1,1,0.028,0.578,-0.085,"[-1, -1]",-1,[],1
Louisiana State University Alexandria,https://www.lsua.edu/campus-life/health-services,,,,,,,,,,,,,,,0
Louisiana State University and Agricultural & Mechanical College,https://lsu.edu/shc,,,,,,,,,,,,,,,0
Louisiana State University Shreveport,https://www.lsuhs.edu,,,,,,,,,,,,,,,0
Louisiana Tech University,https://guiceblog.latech.edu/2016/11/28/a-paige-from-our-student-health-center,,,,,,,,,,,,,,,0
McNeese State University,https://www.mcneese.edu/health-services,,,,,,,,,,,,,,,0
University of New Orleans,https://www.uno.edu/campus-health,,,,,,,,,,,,,,,0
Nicholls State University,https://www.nicholls.edu/health,,,,,,,,,,,,,,,0
University of Louisiana at Monroe,https://www.ulm.edu/healthclinic,,,,,,,,,,,,,,,0
Northwestern State University of Louisiana,https://www.nsula.edu/health,,,,,,,,,,,,,,,0
Southeastern Louisiana University,https://www.southeastern.edu/admin/health_ctr,3,['http://www.southeastern.edu/admin/health_ctr/about/index.html'],1686,106.12,0.6,4,2,2,0.045,0.608,-0.033,"['Tue, 28 May 2019 17:42:20 GMT', -1, -1]",1,"['https://www.southeastern.edu/admin/health_ctr', 'https://www.southeastern.edu/admin/health_ctr/about/index.html']",1
Southern University and A & M College,https://www.subr.edu/page/14,,,,,,,,,,,,,,,0
Southern University at New Orleans,http://www.suno.edu/page/counseling-services,,,,,,,,,,,,,,,0
University of Louisiana at Lafayette,https://studenthealth.louisiana.edu,1,['https://studenthealth.louisiana.edu/content/about-us/frequent-questions'],2128,88.89,4.12,5,3,2,0.06,0.827,0,"['Sun, 16 Aug 2020 22:53:25 GMT']",1,"['https://studenthealth.louisiana.edu', 'https://studenthealth.louisiana.edu/content/about-us/frequent-questions']",1
University of Maine at Farmington,http://www2.umf.maine.edu/studenthealth,4,"['http://www2.umf.maine.edu/studenthealth/emergency-contraception/', 'http://www2.umf.maine.edu/studenthealth/available-birth-control/', 'http://www2.umf.maine.edu/studenthealth/new-students/recommended-immunizations/', 'http://www2.umf.maine.edu/studenthealth/health-care-services/']",1882,78.91,5.21,12,7,5,0.065,0.536,0.009,"[-1, -1, -1, 'Sun, 16 Aug 2020 22:51:44 GMT']",1,"['http://www2.umf.maine.edu/studenthealth', 'http://www2.umf.maine.edu/studenthealth/emergency-contraception/']",1
University of Maine at Fort Kent,https://www.umfk.edu/wellness/clinic,,,,,,,,,,,,,,,0
University of Maine at Machias,https://machias.edu/campus-life/student-services,,,,,,,,,,,,,,,0
University of Maine,https://umaine.edu/wellness,2,"['https://umaine.edu/wellness/programs/', 'https://umaine.edu/wellness/resources/']",1567,77.42,5.7,4,2,2,0.026,0.555,0.209,"[-1, -1]",1,"['https://umaine.edu/wellness', 'https://umaine.edu/wellness/resources/']",1
Maine Maritime Academy,https://mainemaritime.edu/student-life/health-and-counseling-services,,,,,,,,,,,,,,,0
University of Maine at Presque Isle,https://www.umpi.edu/offices/health-services,,,,,,,,,,,,,,,0
University of Southern Maine,https://usm.maine.edu/uhcs/health-services,1,['https://usm.maine.edu/uhcs/health-services'],502,70.3,6.13,2,1,1,0.023,0.637,0.127,"['Sun, 16 Aug 2020 05:09:30 GMT']",0,['https://usm.maine.edu/uhcs/health-services'],1
University of Baltimore,https://www.ubalt.edu/campus-life/recreation-and-wellness,,,,,,,,,,,,,,,0
Bowie State University,https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center,4,"['https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/condoms.php', 'https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/index.php', 'https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/womens-health.php', 'https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/stis-hiv.php']",1713,77.23,5,13,7,6,0.122,0.575,0.218,"[-1, -1, -1, -1]",2,"['https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center', 'https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/', 'https://bowiestate.edu/campus-life/health-and-wellness/henry-wise-wellness-center/sexual-health/condoms.php']",1
Coppin State University,https://www.coppin.edu/chc,,,,,,,,,,,,,,,0
Frostburg State University,https://www.frostburg.edu/brady-health,3,"['https://www.frostburg.edu/brady-health/family.php', 'https://www.frostburg.edu/brady-health/Services/womens-healthbirth-control.php']",1175,72.83,6.34,6,3,3,0.04,0.612,0.086,"[-1, 'Tue, 25 Jul 2017 11:17:21 GMT', -1]",1,"['https://www.frostburg.edu/brady-health', 'https://www.frostburg.edu/brady-health/Services/womens-healthbirth-control.php']",1
University of Maryland University College,https://health.umd.edu,7,"['http://health.umd.edu/wellness-advocacy/sexual-health', 'http://health.umd.edu/wellness-advocacy-sexual-health/sexual-health-referrals', 'https://health.umd.edu/home/covid-19-uhc-operations', 'http://health.umd.edu/sites/default/files/inline-files/Annual%20Report%202017-18%204.pdf', 'https://health.umd.edu/sites/default/files/inline-files/UHCAnnualReport2018-19Web.pdf']",4238,69.44,6.9,12,7,5,0.046,0.509,0.221,"[-1, -1, 'Fri, 14 Aug 2020 17:12:42 GMT', 'Wed, 09 Jan 2019 21:50:58 GMT', -1, 'Wed, 12 Sep 2018 20:54:49 GMT', 'Sat, 28 Sep 2019 16:01:20 GMT']",1,"['https://health.umd.edu', 'https://health.umd.edu/home/covid-19-uhc-operations']",1
University of Maryland Baltimore County,https://www.umaryland.edu/studenthealth/student-health-center,,,,,,,,,,,,,,,0
University of Maryland College Park,https://health.umd.edu,7,"['http://health.umd.edu/wellness-advocacy/sexual-health', 'http://health.umd.edu/wellness-advocacy-sexual-health/sexual-health-referrals', 'https://health.umd.edu/home/covid-19-uhc-operations', 'http://health.umd.edu/sites/default/files/inline-files/Annual%20Report%202017-18%204.pdf', 'https://health.umd.edu/sites/default/files/inline-files/UHCAnnualReport2018-19Web.pdf']",4238,69.44,6.9,12,7,5,0.046,0.509,0.221,"[-1, -1, 'Fri, 14 Aug 2020 17:12:42 GMT', 'Wed, 09 Jan 2019 21:50:58 GMT', -1, 'Wed, 12 Sep 2018 20:54:49 GMT', 'Sat, 28 Sep 2019 16:01:20 GMT']",1,"['https://health.umd.edu', 'https://health.umd.edu/home/covid-19-uhc-operations']",1
University of Maryland Eastern Shore,https://www.umes.edu/StudentHealth,,,,,,,,,,,,,,,0
Morgan State University,https://www.morgan.edu/healthservices,,,,,,,,,,,,,,,0
Salisbury University,https://www.salisbury.edu/administration/student-affairs/student-health-services,4,"['https://www.salisbury.edu/administration/student-affairs/student-health-services/services/self-care.aspx', 'https://www.salisbury.edu/administration/student-affairs/student-health-services/services/std-testing.aspx', 'https://www.salisbury.edu/administration/student-affairs/student-health-services/services/gyno.aspx', 'https://www.salisbury.edu/administration/student-affairs/student-health-services/health-links/contraceptive-resources.aspx']",2415,69,7.1,11,6,5,0.056,0.666,0.078,"[-1, -1, -1, -1]",1,"['https://www.salisbury.edu/administration/student-affairs/student-health-services', 'https://www.salisbury.edu/administration/student-affairs/student-health-services/services/gyno.aspx']",1
St Mary's College of Maryland,https://www.smcm.edu/wellness,3,"['https://www.smcm.edu/wellness/health-services/services/', 'http://www.smcm.edu/wellness/wp-content/uploads/sites/95/2020/06/SCOPE-of-SERVICES-JUN2020.pdf']",1340,73.47,5.74,2,1,1,0.027,0.526,0.103,"[-1, -1, -1]",1,"['https://www.smcm.edu/wellness', 'https://www.smcm.edu/wellness/health-services/services/']",1
Towson University,https://www.towson.edu/healthcenter,4,"['https://www.towson.edu/healthcenter/health-education/sexual-health.html', 'https://www.towson.edu/healthcenter/health-education/peer-education/sexual-health-education/safer-sex-supply-grant.html', 'https://www.towson.edu/healthcenter/services.html']",6182,83.86,4.43,20,10,10,0.043,0.605,0.146,"[-1, -1, -1, 'Fri, 28 Jun 2019 15:41:46 GMT']",1,"['https://www.towson.edu/healthcenter', 'https://www.towson.edu/healthcenter/services.html']",1
Bridgewater State University,https://www.bridgew.edu/student-life/wellness-safety/health-services,,,,,,,,,,,,,,,0
Fitchburg State University,https://www.fitchburgstate.edu/offices-services-directory/health-services,2,"['https://www.fitchburgstate.edu/offices-services-directory/health-services/services-provided/', 'https://www.fitchburgstate.edu/offices-services-directory/health-services/health-services-common-issues/']",3538,83.22,4.3,4,2,2,0.029,0.556,0.189,"['Sun, 16 Aug 2020 23:01:14 GMT', 'Sun, 16 Aug 2020 23:01:17 GMT']",1,"['https://www.fitchburgstate.edu/offices-services-directory/health-services', 'https://www.fitchburgstate.edu/offices-services-directory/health-services/services-provided/']",1
Framingham State University,https://www.framingham.edu/student-life/health-center,,,,,,,,,,,,,,,0
University of Massachusetts Lowell,https://www.uml.edu/student-services/health,1,['https://www.uml.edu/student-services/health-education/events/'],285,77.51,5.34,3,2,1,0.054,0.477,0.375,-1,-1,[],1
University of Massachusetts Amherst,https://www.umass.edu/uhs,9,"['https://www.umass.edu/uhs/services/pharmacy/contraception', 'https://www.umass.edu/uhs/services-and-programs/medical-care/sexual-health-stis-and-hiv/pep-and-prep', 'https://www.umass.edu/uhs/services-and-programs/medical-care/sexual-health-stis-and-hiv', 'https://www.umass.edu/uhs/services-and-programs/medical-care/sexual-health-stis-and-hiv/sexual-health-fact-sheets', 'https://www.umass.edu/uhs/services-and-programs/medical-care/sexual-health-stis-and-hiv/sti-and-hiv-testing', 'https://www.umass.edu/uhs/services/pharmacy/otc', 'https://www.umass.edu/uhs/accesstocare/tips', 'https://www.umass.edu/uhs/sites/default/files/documents/event_flyers/HPV%20fact%20sheet.pdf']",3611,68.14,7.37,19,11,8,0.057,0.518,0.197,"[-1, -1, -1, -1, -1, -1, -1, 'Wed, 19 Nov 2014 20:00:51 GMT', 'Wed, 06 May 2015 19:09:21 GMT']",2,"['https://www.umass.edu/uhs', 'https://www.umass.edu/uhs/accesstocare/locations', 'https://www.umass.edu/uhs/accesstocare/tips']",1
University of Massachusetts Boston,https://www.umb.edu/healthservices,2,"['https://www.umb.edu/healthservices/general_medicine/services_offered', 'https://www.umb.edu/healthservices/hew/hiv_aids']",1044,75.46,5.41,4,2,2,0.029,0.536,0.312,"['Fri, 07 Aug 2020 02:28:42 GMT', 'Fri, 14 Aug 2020 22:45:39 GMT']",2,"['https://www.umb.edu/healthservices', 'https://www.umb.edu/healthservices/my_health_beacon_portal', 'https://www.umb.edu/healthservices/general_medicine/services_offered']",1
Massachusetts Maritime Academy,https://www.maritime.edu/health-services,,,,,,,,,,,,,,,0
Massachusetts College of Liberal Arts,http://www.mcla.edu/Student_Life/wellness/healthservices,,,,,,,,,,,,,,,0
Salem State University,https://www.salemstate.edu/campus-life/student-services/counseling-and-health-services/health-services,1,['https://www.salemstate.edu/campus-life/student-services/counseling-and-health-services/health-services/sexual-health-services'],2182,65.11,9.36,8,4,4,0.033,0.526,0.184,"['Sun, 16 Aug 2020 13:52:16 GMT']",1,"['https://www.salemstate.edu/campus-life/student-services/counseling-and-health-services/health-services', 'https://www.salemstate.edu/campus-life/student-services/counseling-and-health-services/health-services/sexual-health-services']",1
University of Massachusetts Dartmouth,https://www.umassd.edu/studentaffairs/health,2,"['https://www.umassd.edu/studentaffairs/health/faqs/', 'https://www.umassd.edu/studentaffairs/health/lgbtqresourcesservices/']",1729,91.34,3.16,2,1,1,0.022,0.674,0.084,"['Thu, 13 Aug 2020 03:05:29 GMT', 'Thu, 13 Aug 2020 03:05:30 GMT']",1,"['https://www.umassd.edu/studentaffairs/health', 'https://www.umassd.edu/studentaffairs/health/lgbtqresourcesservices/']",1
Westfield State University,http://www.westfield.ma.edu/student-life/health-services,2,"['http://www.westfield.ma.edu/student-life/health-services/std-clinics', 'http://www.westfield.ma.edu/student-life/health-services/hiv-infection-aids']",1631,70.58,6.98,14,9,5,0.087,0.472,0.108,"['Sun, 16 Aug 2020 23:11:53 GMT', 'Sun, 16 Aug 2020 23:11:54 GMT']",1,"['http://www.westfield.ma.edu/student-life/health-services', 'http://www.westfield.ma.edu/student-life/health-services/std-clinics']",1
Worcester State University,https://www.worcester.edu/Health-Services,,,,,,,,,,,,,,,0
Central Michigan University,https://www.cmich.edu/lifeatCMU/Pages,,,,,,,,,,,,,,,0
Eastern Michigan University,https://www.emich.edu/uhs,,,,,,,,,,,,,,,0
Ferris State University,https://www.ferris.edu/htmls/studentlife/hcenter,1,['https://www.ferris.edu/HTMLS/studentlife/HCenter/services/contraceptive.htm'],403,78.82,4.49,2,1,1,0.032,0.701,0.228,[-1],-1,[],1
Grand Valley State University,https://www.gvsu.edu/campushealth,,,,,,,,,,,,,,,0
Lake Superior State University,https://www.lssu.edu/health-care-center,1,['https://www.lssu.edu/health-care-center/services/'],969,66.37,6.61,2,1,1,0.023,0.733,0.167,[-1],1,"['https://www.lssu.edu/health-care-center', 'https://www.lssu.edu/health-care-center/services/']",1
University of Michigan Ann Arbor,https://uhs.umich.edu,10,"['https://uhs.umich.edu/contraception-external-condom', 'https://uhs.umich.edu/sss', 'https://uhs.umich.edu/contraception-other', 'https://uhs.umich.edu/contraception-internal-condom', 'https://uhs.umich.edu/tags/sexual-health', 'https://uhs.umich.edu/sxhresources', 'https://www.uhs.umich.edu/tags/contraception?page=1', 'https://uhs.umich.edu/healthtopics?page=6', 'https://uhs.umich.edu/articles?items_per_page=5&page=27', 'https://www.uhs.umich.edu/articles/popular/13?items_per_page=10&page=17']",7905,81.95,4.86,260,174,86,0.241,0.576,0.105,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",2,"['https://uhs.umich.edu', 'https://uhs.umich.edu/gyn-sexual-health', 'https://uhs.umich.edu/sxhresources']",1
Michigan State University,https://olin.msu.edu,8,"['https://olin.msu.edu/healthpromo/sexualwellness/hiv.htm', 'https://olin.msu.edu/prep', 'https://olin.msu.edu/pdfs/PSYIntake.pdf', 'https://olin.msu.edu/services/womens-health.html', 'https://olin.msu.edu/_assets/pdfs/services/The-Medical-Care-of-Transgender-Persons.pdf']",5867,78.52,5.63,182,121,61,0.166,0.525,0.173,"[-1, -1, 'Mon, 10 Aug 2020 06:53:25 GMT', -1, 'Mon, 15 Jun 2020 19:43:10 GMT', 'Mon, 10 Aug 2020 06:53:14 GMT', -1, 'Mon, 10 Aug 2020 06:53:25 GMT']",1,"['https://olin.msu.edu', 'https://olin.msu.edu/index.html']",1
Michigan Technological University,https://www.mtu.edu/deanofstudents/students/services,,,,,,,,,,,,,,,0
University of Michigan Dearborn,https://umdearborn.edu/campus-life/health-wellness,,,,,,,,,,,,,,,0
University of Michigan Flint,https://www.umflint.edu/dsa/student-health-services,,,,,,,,,,,,,,,0
Northern Michigan University,https://www.nmu.edu/healthcenter,2,['https://www.nmu.edu/healthcenter/pharmacy'],1410,71.76,5.98,2,1,1,0.022,0.696,0.184,"[-1, 'Fri, 31 Mar 2017 14:52:35 GMT']",1,"['https://www.nmu.edu/healthcenter', 'https://www.nmu.edu/healthcenter/pharmacy']",1
Oakland University,https://oakland.edu/ghc,4,"['https://oakland.edu/ghc/community/', 'https://oakland.edu/ghc/health/', 'https://oakland.edu/ghc/emergency/', 'https://oakland.edu/ghc/studentinsurance/']",4747,65.39,8.07,11,6,5,0.051,0.638,0.023,"['Thu, 06 Aug 2020 02:16:35 GMT', 'Wed, 12 Aug 2020 15:16:51 GMT', 'Wed, 12 Aug 2020 15:08:13 GMT', 'Wed, 12 Aug 2020 15:03:33 GMT']",1,"['https://oakland.edu/ghc', 'https://oakland.edu/ghc/health/index']",1
Saginaw Valley State University,https://www.svsu.edu/universityhealthcenter,,,,,,,,,,,,,,,0
Wayne State University,https://health.wayne.edu,10,"['https://health.wayne.edu/sp_faq/what-is-the-condom-club/', 'https://health.wayne.edu/sexual-health/', 'https://health.wayne.edu/sp_faq/can-redeem-full-condom-card-get-50-condoms/', 'https://health.wayne.edu/sp_faq/many-condom-club-cards-can-buy-per-semester/', 'http://health.wayne.edu/sp_faq/condoms-best-option-men-size-condom-matter/', 'https://health.wayne.edu/sp_faq/lost-condom-card/', 'http://health.wayne.edu/birth-control/', 'https://health.wayne.edu/faq/', 'http://health.wayne.edu/campus-health-center-information/', 'https://health.wayne.edu/the-zika-virus-and-your-spring-break/']",12758,82,5.17,127,80,47,0.147,0.533,0.193,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",1,"['https://health.wayne.edu', 'https://health.wayne.edu/faq/']",1
Western Michigan University,https://wmich.edu/healthcenter,3,"['https://wmich.edu/healthcenter/clinic/services/contraception', 'https://wmich.edu/healthcenter/top5/sti', 'https://wmich.edu/healthcenter/top5/sex-consent']",1212,72.05,6.55,11,6,5,0.057,0.524,0.22,"[-1, -1, -1]",3,"['https://wmich.edu/healthcenter', 'https://wmich.edu/healthcenter/clinic/covid-19/covid-testing', 'https://wmich.edu/healthcenter/clinic/services', 'https://wmich.edu/healthcenter/clinic/services/contraception']",1
Bemidji State University,https://www.bemidjistate.edu/services/health-counseling,1,['https://www.bemidjistate.edu/services/health-counseling/health-services/services-provided/'],925,56.07,9.15,2,1,1,0.021,0.509,0.222,[-1],1,"['https://www.bemidjistate.edu/services/health-counseling', 'https://www.bemidjistate.edu/services/health-counseling/health-services/services-provided/']",1
Minnesota State University Mankato,http://www.mnsu.edu/shs,10,"['https://www.mnsu.edu/shs/condomconnection.html', 'http://www.mnsu.edu/shs/healtheducation/', 'https://www.mnsu.edu/shs/healtheducation/healthpro/hpprogs.html', 'https://www.mnsu.edu/shs/ondomonnection.html', 'https://www.mnsu.edu/shs/clinic/free4u.html', 'https://www.mnsu.edu/shs/hpvgenitalwarts.html', 'https://www.mnsu.edu/shs/relaxationstation.html', 'https://www.mnsu.edu/shs/healtheducation/healthpro/']",4032,77.08,5.59,23,17,6,0.082,0.533,0.222,"[-1, 'Mon, 21 Feb 2011 20:43:43 GMT', 'Wed, 11 Sep 2019 13:42:02 GMT', 'Wed, 11 Sep 2019 13:51:12 GMT', -1, 'Fri, 04 Sep 2015 20:57:52 GMT', -1, 'Tue, 21 Mar 2017 19:14:47 GMT', 'Fri, 06 Jan 2017 17:24:32 GMT', 'Thu, 29 Aug 2019 15:05:23 GMT']",1,"['http://www.mnsu.edu/shs', 'http://www.mnsu.edu/shs/healtheducation/']",1
Metropolitan State University,https://www.msudenver.edu/healthcenter,1,['https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/'],1464,79.61,5.65,2,2,0,0.042,0.756,0.006,"['Tue, 25 Feb 2020 01:53:22 GMT']",2,"['https://www.msudenver.edu/healthcenter', 'https://www.msudenver.edu/healthcenter/medicalservices/', 'https://www.msudenver.edu/healthcenter/medicalservices/freeclinicalservices/']",1
University of Minnesota Twin Cities,https://twin-cities.umn.edu/health-medicine,,,,,,,,,,,,,,,0
University of Minnesota Crookston,https://www.crk.umn.edu/units/health-services,,,,,,,,,,,,,,,0
University of Minnesota Duluth,https://www.d.umn.edu/health-services,2,"['https://www.d.umn.edu/health-services/medical-services/services-provided/sexual-health', 'https://www.d.umn.edu/health-services/medical-services/services-provided/sexually-transmitted-infections']",1956,64.7,8.03,11,6,5,0.049,0.527,0.214,"['Sun, 16 Aug 2020 17:07:03 GMT', 'Sun, 16 Aug 2020 04:28:31 GMT']",1,"['https://www.d.umn.edu/health-services', 'https://www.d.umn.edu/health-services/medical-services/services-provided/sexually-transmitted-infections']",1
University of Minnesota Morris,https://students.morris.umn.edu/health-and-wellness/health-service,,,,,,,,,,,,,,,0
Minnesota State University Moorhead,https://www2.mnstate.edu/counseling-services,,,,,,,,,,,,,,,0
Saint Cloud State University,https://www.stcloudstate.edu/medicalclinic,6,"['https://www.stcloudstate.edu/medicalclinic/medical-clinic/sexual-health.aspx', 'https://www.stcloudstate.edu/medicalclinic/_files/documents/data/2004-ACHA-NCHA-executive-summary.pdf', 'https://www.stcloudstate.edu/medicalclinic/_files/documents/data/2007-ACHA-NCHA-executive-summary.pdf']",540,102.04,1.23,1,1,0,0.024,0.722,0.167,"[-1, 'Wed, 19 Jun 2019 21:23:56 GMT', 'Wed, 19 Jun 2019 21:23:56 GMT', 'Wed, 19 Jun 2019 21:23:56 GMT', 'Wed, 19 Jun 2019 21:23:56 GMT', 'Wed, 19 Jun 2019 21:23:56 GMT']",2,"['https://www.stcloudstate.edu/medicalclinic', 'https://www.stcloudstate.edu/medicalclinic/medical-clinic/default.aspx', 'https://www.stcloudstate.edu/medicalclinic/medical-clinic/sexual-health.aspx']",1
Southwest Minnesota State University,https://www.smsu.edu/campuslife/healthservices,,,,,,,,,,,,,,,0
Winona State University,https://www.winona.edu/healthservices,2,['https://www.winona.edu/healthservices/clinicservices.asp'],1380,60.21,7.55,2,1,1,0.029,0.556,0.3,"['Tue, 28 Feb 2017 20:51:20 GMT', -1]",1,"['https://www.winona.edu/healthservices', 'https://www.winona.edu/healthservices/clinicservices.asp']",1
Alcorn State University,https://www.alcorn.edu/academics/student-affairs/health-and-disability-services/health-services,,,,,,,,,,,,,,,0
Delta State University,http://www.deltastate.edu/student-affairs/student-health-services,,,,,,,,,,,,,,,0
Jackson State University,https://www.jsums.edu/healthservices,,,,,,,,,,,,,,,0
University of Mississippi,https://healthcenter.olemiss.edu,1,['https://healthcenter.olemiss.edu/services-2/'],4158,73.43,6.41,4,2,2,0.031,0.384,0.079,[-1],1,"['https://healthcenter.olemiss.edu', 'https://healthcenter.olemiss.edu/services-2/']",1
Mississippi University for Women,https://www.muw.edu/centers/healthcenter,,,,,,,,,,,,,,,0
Mississippi Valley State University,https://www.mvsu.edu/campus-facilities-services/main-campus/health-center,,,,,,,,,,,,,,,0
Mississippi State University,https://www.healthcenter.msstate.edu,,,,,,,,,,,,,,,0
University of Southern Mississippi,https://www.usm.edu/student-health-services,3,"['https://www.usm.edu/student-health-services/services-we-offer.php', 'https://www.usm.edu/student-health-services/sexual_health.php', 'https://www.usm.edu/student-health-services/womens_health.php']",4058,82.49,4.53,3,2,1,0.035,0.37,0.212,"[-1, -1, -1]",1,"['https://www.usm.edu/student-health-services', 'https://www.usm.edu/student-health-services/services-we-offer.php']",1
University of Central Missouri,https://www.ucmo.edu/offices/health-center,1,['https://www.ucmo.edu/offices/health-center/services/'],2803,82.63,4.39,14,7,7,0.077,0.539,0.214,[-1],1,"['https://www.ucmo.edu/offices/health-center', 'https://www.ucmo.edu/offices/health-center/services/index.php']",1
Harris Stowe State University,http://go.hssu.edu/rsp_content.cfm?wid=74&pid=1905&CFID=6282041&CFTOKEN=1cfb559d8292f9fc-5274A4D3-E1C6-55ED-3D657C6259D99D7A,,,,,,,,,,,,,,,0
Lincoln University of Missouri,https://bluetigerportal.lincolnu.edu/web/thompkins-health-center,,,,,,,,,,,,,,,0
Missouri Southern State University,https://www.mssu.edu/student-affairs/willcoxon-health-center,1,['https://www.mssu.edu/student-affairs/willcoxon-health-center/frequently-asked-questions.php'],662,68.42,7.59,2,1,1,0.026,0.512,0.204,[-1],1,"['https://www.mssu.edu/student-affairs/willcoxon-health-center', 'https://www.mssu.edu/student-affairs/willcoxon-health-center/frequently-asked-questions.php']",1
Missouri Western State University,https://www.missouriwestern.edu/student-services/health-center,,,,,,,,,,,,,,,0
University of Missouri Columbia,https://studenthealth.missouri.edu,,,,,,,,,,,,,,,0
University of Missouri Kansas City,https://www.umkc.edu/studenthealth,2,['https://www.umkc.edu/studenthealth/services-and-info/mens-health.html'],502,66.11,7.32,2,1,1,0.021,0.518,0.183,"['Wed, 12 Aug 2020 21:10:02 GMT', 'Wed, 12 Aug 2020 21:10:13 GMT']",2,"['https://www.umkc.edu/studenthealth', 'https://www.umkc.edu/studenthealth/appointments/forms.html', 'https://www.umkc.edu/studenthealth/docs/health-history-form-071818.docx']",1
Missouri University of Science and Technology,https://studenthealth.mst.edu,1,['https://studenthealth.mst.edu/ourservices/stitesting/'],536,79.02,5.45,2,1,1,0.025,0.627,0.136,"['Sun, 16 Aug 2020 10:30:34 GMT']",1,"['https://studenthealth.mst.edu', 'https://studenthealth.mst.edu/ourservices/stitesting/']",1
University of Missouri St Louis,http://www.umsl.edu/hcdas/health,,,,,,,,,,,,,,,0
Truman State University,https://studenthealth.truman.edu,,,,,,,,,,,,,,,0
Northwest Missouri State University,https://www.nwmissouri.edu/wellness,,,,,,,,,,,,,,,0
Southeast Missouri State University,https://semo.edu/healthclinic,1,['https://semo.edu/healthclinic/services/women.html'],1149,60.06,7.37,2,1,1,0.026,0.622,0.171,[-1],1,"['https://semo.edu/healthclinic', 'https://semo.edu/healthclinic/services/women.html']",1
Missouri State University Springfield,https://health.missouristate.edu,2,"['https://health.missouristate.edu/students/resources.htm', 'https://health.missouristate.edu/ask-a-student-wellness-question.htm']",2639,73.38,5.96,6,4,2,0.043,0.52,0.07,"['Sun, 16 Aug 2020 04:45:55 GMT', 'Thu, 06 Aug 2020 04:47:48 GMT']",2,"['https://health.missouristate.edu', 'https://health.missouristate.edu/whattobring.htm', 'https://health.missouristate.edu/Assets/health/Insurance_Information_Document.docx']",1
